member count,person count,name,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
227,,Raymond John Groom,Braddon,Tas.,13.12.1975,,26.10.1984,retired,LIB
228,,Barry Wayne Haase,Kalgoorlie,WA,3.10.1998,,21.8.2010,elected_elsewhere,LIB
229,,Damian Francis Hale,Solomon,NT,24.11.2007,,21.8.2010,defeated,ALP
230,,Jill Griffiths Hall,Shortland,NSW,3.10.1998,,9.5.2016,retired,ALP
231,,Raymond Steele Hall,Boothby,SA,21.2.1981,by_election,29.1.1996,retired,LIB
232,,Robert George Halverson,Casey,Vic.,1.12.1984,,30.4.1996,changed_party,LIB
233,,Gerard Leslie Hand,Melbourne,Vic.,5.3.1983,,8.2.1993,retired,ALP
234,,Pauline Lee Hanson,Oxley,Qld,2.3.1996,,3.10.1998,defeated,PHON
235,,Gary Douglas Hardgrave,Moreton,Qld,2.3.1996,,24.11.2007,defeated,LIB
236,,Graham McDonald Harris,Chisholm,Vic.,18.10.1980,,5.3.1983,defeated,LIB
237,,Luke Hartsuyker,Cowper,NSW,10.11.2001,,18.05.2019,retired,NP
238,,Elizabeth Robyn Harvey,Hawker,SA,11.7.1987,,24.3.1990,defeated,ALP
239,,John Whitton Haslem,Canberra,ACT,13.12.1975,,18.10.1980,defeated,LIB
240,,Michael John Hatton,Blaxland,NSW,15.6.1996,by_election,17.10.2007,retired,ALP
241,,Christopher Douglas Haviland,Macarthur,NSW,13.3.1993,,29.1.1996,retired,ALP
242,,Alexander George Hawke,Mitchell,NSW,24.11.2007,,,still_in_office,LIB
243,,Robert James Lee Hawke,Wills,Vic.,18.10.1980,,20.2.1992,resigned,ALP
244,,David Peter Maxwell Hawker,Wannon,Vic.,7.5.1983,by_election,15.11.2004,changed_party,LIB
245,,David Peter Maxwell Hawker,Wannon,Vic.,16.11.2004,changed_party,17.10.2007,changed_party,SPK
246,,David Peter Maxwell Hawker,Wannon,Vic.,17.10.2007,changed_party,21.8.2010,retired,LIB
247,,William George Hayden,Oxley,Qld,9.12.1961,,17.8.1988,resigned,ALP
248,,Christopher Patrick Hayes,Werriwa,NSW,19.3.2005,by_election,21.8.2010,elected_elsewhere,ALP
249,,Stuart Irwin Henry,Hasluck,WA,9.10.2004,,24.11.2007,defeated,LIB
250,,Marjorie Madeline Henzell,Capricornia,Qld,13.3.1993,,2.3.1996,defeated,ALP
251,,John Robert Hewson,Wentworth,NSW,11.7.1987,,28.2.1995,resigned,LIB
252,,Noel Jeffrey Hicks,Riverina,NSW,13.3.1993,,31.8.1998,retired,NPA
253,,Noel Jeffrey Hicks,Riverina,NSW,18.10.1980,,1.12.1984,elected_elsewhere,NPA
254,,Noel Jeffrey Hicks,Riverina-Darling,NSW,1.12.1984,,13.3.1993,elected_elsewhere,NPA
255,,Kelly Joy Hoare,Charlton,NSW,3.10.1998,,17.10.2007,retired,ALP
256,,Joseph Benedict Hockey,North Sydney,NSW,2.3.1996,,23.10.2015,retired,LIB
257,,John Charles Hodges,Petrie,Qld,18.5.1974,,5.3.1983,defeated,LIB
258,,John Charles Hodges,Petrie,Qld,1.12.1984,,11.7.1987,defeated,LIB
259,,Michael William Hodgman,Denison,Tas.,13.12.1975,,11.7.1987,defeated,LIB
260,,Allan Clyde Holding,Melbourne Ports,Vic.,10.12.1977,,31.8.1998,retired,ALP
261,,Colin Hollis,Macarthur,NSW,5.3.1983,,1.12.1984,elected_elsewhere,ALP
262,,Colin Hollis,Throsby,NSW,1.12.1984,,8.10.2001,retired,ALP
263,,Robert Hodges Horne,Paterson,NSW,13.3.1993,,2.3.1996,defeated,ALP
264,,Robert Hodges Horne,Paterson,NSW,3.10.1998,,10.11.2001,defeated,ALP
265,,John Winston Howard,Bennelong,NSW,18.5.1974,,24.11.2007,defeated,LIB
266,,Brian Leslie Howe,Batman,Vic.,10.12.1977,,29.1.1996,retired,ALP
267,,Kay Elizabeth Hull,Riverina,NSW,3.10.1998,,21.8.2010,retired,NPA
268,,Rob Justin Hulls,Kennedy,Qld,24.3.1990,,13.3.1993,defeated,ALP
269,,Benjamin Charles Humphreys,Griffith,Qld,10.12.1977,,29.1.1996,retired,ALP
270,,Gregory Andrew Hunt,Flinders,Vic.,10.11.2001,,21.5.2022,retired,LIB
271,,Ralph James Dunnet Hunt,Gwydir,NSW,7.6.1969,by_election,24.2.1989,resigned,NPA
272,,Christopher John Hurford,Adelaide,SA,25.10.1969,,31.12.1987,resigned,ALP
273,,John Martin Hyde,Moore,WA,18.5.1974,,5.3.1983,defeated,LIB
274,,Urquhart Edward Innes,Melbourne,Vic.,2.12.1972,,4.2.1983,retired,ALP
275,,Stephen James Irons,Swan,WA,24.11.2007,,21.5.2022,retired,LIB
276,,Julia Claire Irwin,Fowler,NSW,3.10.1998,,21.8.2010,retired,ALP
277,,Sharryn Maree Jackson,Hasluck,WA,10.11.2001,,9.10.2004,defeated,ALP
278,,Sharryn Maree Jackson,Hasluck,WA,24.11.2007,,21.8.2010,defeated,ALP
279,,Ralph Jacobi,Hawker,SA,25.10.1969,,5.6.1987,retired,ALP
280,,Carolyn Anne Jakobsen,Cowan,WA,1.12.1984,,13.3.1993,defeated,ALP
281,,Albert William James,Hunter,NSW,9.4.1960,by_election,19.9.1980,retired,ALP
282,,Alan William Jarman,Deakin,Vic.,26.11.1966,,5.3.1983,defeated,LIB
283,,Susan Barbara Jeanes,Kingston,SA,2.3.1996,,3.10.1998,defeated,LIB
284,334,Henry Alfred Jenkins,Scullin,Vic.,25.10.1969,,21.4.1983,changed_party,ALP
285,,Harry Alfred Jenkins,Scullin,Vic.,8.2.1986,by_election,4.5.1993,changed_party,ALP
286,,Harry Alfred Jenkins,Scullin,Vic.,4.5.1993,changed_party,29.1.1996,changed_party,CWM
287,,Harry Alfred Jenkins,Scullin,Vic.,29.1.1996,changed_party,11.2.2008,changed_party,ALP
288,,Harry Alfred Jenkins,Scullin,Vic.,12.2.2008,changed_party,24.11.2011,changed_party,SPK
289,,Dennis Geoffrey Jensen,Tangney,WA,9.10.2004,,9.5.2016,defeated,LIB
290,,Gary Thomas Johns,Petrie,Qld,11.7.1987,,2.3.1996,defeated,ALP
291,,Leonard Keith Johnson,Burke,Vic.,25.10.1969,,19.9.1980,retired,ALP
292,,Leslie Royston Johnson,Hughes,NSW,10.12.1955,,26.11.1966,defeated,ALP
293,,Leslie Royston Johnson,Hughes,NSW,25.10.1969,,19.12.1983,resigned,ALP
294,,Michael Andrew Johnson,Ryan,Qld,10.11.2001,,21.8.2010,changed_party,LIB
295,,Peter Francis Johnson,Brisbane,Qld,13.12.1975,,18.10.1980,defeated,LIB
296,,James Roger Johnston,Hotham,Vic.,10.12.1977,,18.10.1980,defeated,LIB
297,,Ricky Johnston,Canning,WA,2.3.1996,,3.10.1998,defeated,LIB
