member count,person count,title,last name,first name,middle name,nick name,post title,house,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
42,,,Cherry,John,Clifford,,,senate,,Qld,31.7.2001,section_15,30.6.2005,defeated,AD
43,,,Childs,Bruce,Kenneth,,,senate,,NSW,1.7.1981,,10.9.1997,resigned,ALP
44,,,Chipp,Donald,Leslie,,,senate,,Vic.,1.7.1978,,18.8.1986,resigned,AD
102,,,Chynoweth,Robert,Leslie,,,representatives,Dunkley,Vic.,1.12.1984,,24.3.1990,defeated,ALP
103,,,Chynoweth,Robert,Leslie,,,representatives,Dunkley,Vic.,13.3.1993,,2.3.1996,defeated,ALP
104,,,Chynoweth,Robert,Leslie,,,representatives,Flinders,Vic.,5.3.1983,,1.12.1984,elected_elsewhere,ALP
105,,,Ciobo,Steven,Michele,,,representatives,Moncrieff,Qld,10.11.2001,, ,still_in_office,LIB
106,,,Clare,Jason,Dean,,,representatives,Blaxland,NSW,24.11.2007,,,still_in_office,ALP
107,,,Cleary,Philip,Ronald,,,representatives,Wills,Vic.,11.4.1992,by_election,25.11.1992,declared_void,IND
108,,,Cleary,Philip,Ronald,,,representatives,Wills,Vic.,13.3.1993,,2.3.1996,defeated,IND
109,,,Cleeland,Peter,Robert,,,representatives,McEwen,Vic.,1.12.1984,,24.3.1990,defeated,ALP
110,,,Cleeland,Peter,Robert,,,representatives,McEwen,Vic.,13.3.1993,,2.3.1996,defeated,ALP
45,,,Coates,John,,,,senate,,Tas.,1.7.1981,,20.8.1996,resigned,ALP
111,,,Cobb,John,Kenneth,,,representatives,Calare,NSW,24.11.2007,, ,still_in_office,NP
566,,,Cobb,John,Kenneth,,,representatives,Parkes,NSW,10.11.2001,,24.11.2007,elected_elsewhere,NP
112,,,Cobb,Michael,Roy,,,representatives,Parkes,NSW,1.12.1984,,31.8.1998,retired,NPA
113,,,Cohen,Barry,,,,representatives,Robertson,NSW,25.10.1969,,19.2.1990,retired,ALP
46,,,Cohen,Samuel,Herbert,,,senate,,Vic.,1.7.1962,,7.10.1969,died,ALP
47,,,Colbeck,Richard,Mansell,,,senate,,Tas.,4.2.2002,section_15,,still_in_office,LIB
48,,,Coleman,Ruth,Nancy,,,senate,,WA,18.5.1974,,5.6.1987,retired,ALP
114,,,Coleman,William,Peter,,,representatives,Wentworth,NSW,11.4.1981,by_election,5.6.1987,retired,LIB
49,,,Collard,Stanley,James,,,senate,,Qld,13.12.1975,,5.6.1987,retired,NPA
50,,,Collins,Jacinta,Mary Ann,,,senate,,Vic.,3.5.1995,section_15,30.6.2005,defeated,ALP
115,,,Collins,Julie,Maree,,,representatives,Franklin,Tas,24.11.2007,,,still_in_office,ALP
51,,,Collins,Robert,Lindsay,,,senate,,NT,11.7.1987,,30.3.1998,resigned,ALP
52,,,Colston,Malcolm,Arthur,,,senate,,Qld,13.12.1975,,30.6.1999,retired,IND
116,,,Combet,Gregory,Ivan,,,representatives,Charlton,NSW,24.11.2007,,,still_in_office,ALP
117,,,Connolly,David,Miles,,,representatives,Bradfield,NSW,18.5.1974,,29.1.1996,retired,LIB
118,,,Conquest,Bryan,Joseph,,,representatives,Hinkler,Qld,1.12.1984,,11.7.1987,defeated,NPA
53,,,Conroy,Stephen,Michael,,,senate,,Vic.,30.4.1996,section_15,,still_in_office,ALP
54,,,Cook,Peter,Francis Salmon,,,senate,,WA,5.3.1983,,30.6.2005,retired,ALP
55,,,Coonan,Helen,Lloyd,,,senate,,NSW,1.7.1996,,,still_in_office,LIB
56,,,Cooney,Bernard,Cornelius,,,senate,,Vic.,1.12.1984,,30.6.2002,retired,ALP
119,,,Corbett,James,,,,representatives,Maranoa,Qld,26.11.1966,,19.9.1980,retired,NCP
120,,,Corcoran,Ann,Kathleen,,,representatives,Isaacs,Vic.,12.8.2000,by_election,17.10.2007,retired,ALP
57,,,Cormann,Mathias,Hubert Paul,,,senate,,WA,19.6.2007,section_15,,still_in_office,LIB
121,,,Costello,Peter,Howard,,,representatives,Higgins,Vic.,24.3.1990,, ,still_in_office,LIB
122,,,Cotter,John,Francis,,,representatives,Kalgoorlie,WA,13.12.1975,,18.10.1980,defeated,LIB
58,,,Coulter,John,Richard,,,senate,,SA,11.7.1987 ,,20.11.1995 ,resigned,AD
123,,,Coulton,Mark,Maclean,,,representatives,Parkes,NSW,24.11.2007,,,still_in_office,Nats
124,,,Courtice,Brian,William,,,representatives,Hinkler,Qld,11.7.1987,,13.3.1993,defeated,ALP
125,,,Cowan,David,Bruce,,,representatives,Lyne,NSW,18.10.1980,,8.2.1993,retired,NPA
126,,,Cox,David,Alexander,,,representatives,Kingston,SA,3.10.1998,,9.10.2004,defeated,ALP
59,,,Crane,Arthur,Winston,,,senate,,WA,1.7.1990 ,,30.6.2002 ,defeated,LIB
127,,,Crawford,Mary,Catherine,,,representatives,Forde,Qld,11.7.1987,,2.3.1996,defeated,ALP
128,,,Crean,Simon,Findlay,,,representatives,Hotham,Vic.,24.3.1990,,,still_in_office,ALP
60,,,Crichton-Browne,Noel,Ashley,,,senate,,WA,1.7.1981 ,,30.6.1996 ,retired,IND LIB
129,,,Crosio,Janice,Ann,,,representatives,Brisbane,Qld,18.10.1980,,19.2.1990,retired,ALP
130,,,Crosio,Janice,Ann,,,representatives,Prospect,NSW,24.3.1990,,31.8.2004,retired,ALP
61,,,Crossin,Patricia,Margaret,,,senate,,NT,16.6.1998 ,section_15,,still_in_office,ALP
62,,,Crowley,Rosemary,Anne,,,senate,,SA,5.3.1983 ,,30.6.2002 ,retired,ALP
131,,,Cunningham,Barry,Thomas,,,representatives,McMillan,Vic.,18.10.1980,,24.3.1990,defeated,ALP
132,,,Cunningham,Barry,Thomas,,,representatives,McMillan,Vic.,13.3.1993,,2.3.1996,defeated,ALP
133,,,D'ath,Yvette,Maree,,,representatives,Petrie,Qld,24.11.2007,,,still_in_office,ALP
134,,,Danby,Michael,David,,,representatives,Melbourne Ports,Vic.,3.10.1998,,,still_in_office,ALP
135,,,Dargavel,Steven,John,,,representatives,Fraser,ACT,1.2.1997,by_election,31.8.1998,retired,ALP
137,,,Darling,Elaine,Elizabeth,,,representatives,Lilley,Qld,18.10.1980,,8.2.1993,retired,ALP
63,,,Davidson,Gordon,Sinclair,,,senate,,SA,8.2.1962 ,,30.6.1962 ,retired;,LIB
64,,,Davidson,Gordon,Sinclair,,,senate,,SA,1.7.1965 ,,30.6.1981 ,retired,LIB
65,,,Davidson,Gordon,Sinclair,,,senate,,SA,28.9.1961 ,section_15,8.12.1961 ,term expired; ,LIB
136,,,Dawkins,John,Sydney,,,representatives,Fremantle,WA,10.12.1977,,4.2.1994,resigned,ALP
138,,,Deahm,Margaret,Joan,,,representatives,Macquarie,NSW,13.3.1993,,2.3.1996,defeated,ALP
139,,,Dean,Arthur,Gordon,,,representatives,Herbert,Qld,10.12.1977,,5.3.1983,defeated,LIB
140,,,Debus,Robert,John,,,representatives,Macquarie,NSW,24.11.2007,,,still_in_office,ALP
