member count,person count,name,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
249,,Mark Arbib,,NSW,1.7.2008,,05.03.2012,resigned,ALP
250,,Catryna Bilyk,,Tasmania,1.7.2008,,3.5.2025,retired,ALP
251,,Doug Cameron,,NSW,1.7.2008,,1.7.2019,retired,ALP
252,,Michaelia Cash,,WA,1.7.2008,,,still_in_office,LIB
253,,Don Farrell,,SA,1.7.2008,,30.6.2014,retired,ALP
254,,David Feeney,,Victoria,1.7.2008,,12.8.2013,resigned,ALP
255,,Mark Furner,,Queensland,1.7.2008,,30.6.2014,retired,ALP
256,,Sarah Hanson-Young,,SA,1.7.2008,,,still_in_office,GRN
257,,Helen Kroger,,Victoria,1.7.2008,,30.6.2014,retired,LIB
258,,Scott Ludlam,,WA,1.7.2008,,14.7.2017,resigned,GRN
259,,Louise Pratt,,WA,1.7.2008,,30.6.2014,retired,ALP
260,,Scott Ryan,,Victoria,1.7.2008,,12.11.2017,changed_party,LIB
261,,John Williams,,NSW,1.7.2008,,1.7.2019,retired,NP
262,,Nick Xenophon,,SA,1.7.2008,,1.7.2013,changed_party,IND
# Senators that finished on 1 July 2008,,,,,,,,,
3,,Lynette Fay Allison,,Vic.,1.7.1996,,30.6.2008,defeated,AD
8,,Andrew John Julian Bartlett,,Qld,30.10.1997,section_15,30.6.2008,defeated,AD
34,,George Campbell,,NSW,17.9.1997,section_15,30.6.2008,retired,ALP
41,,Hedley Grant Pearson Chapman,,SA,11.7.1987,,30.6.2008,defeated,LIB
116,,Charles Roderick Kemp,,Vic.,1.7.1990,,30.6.2008,retired,LIB
119,,Linda Jean Kirk,,SA,1.7.2002,,30.6.2008,retired,ALP
126,,Philip Ross Lightfoot,,WA,19.5.1997,section_15,30.6.2008,retired,LIB
131,,John Alexander Lindsay Macdonald,,NSW,1.7.1993 ,,30.6.1999 ,defeated,NP
132,,John Alexander Lindsay Macdonald,,NSW,4.5.2000 ,section_15,30.6.2008,retired,NP
163,,Andrew James Marshall Murray,,WA,1.7.1996,,30.6.2008,retired,AD
167,,Kerry Michelle Nettle,,NSW,1.7.2002 ,,30.6.2008,defeated,AG
176,,Kay Christine Lesley Patterson,,Vic.,11.7.1987,,30.6.2008,retired,LIB
